mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
259,0,304,10618880,29.198282,46.886677,-1.0,1000.0,2
259,0,597,8,28.8240318,47.0361099,-1.0,500.0,1
259,1,0,272905,28.767097,47.037186,-1.0,1000.0,1
259,1,0,33712730,28.425385,47.157986,-1.0,1000.0,1
259,1,0,131369340,28.909817,46.814774,-1.0,1000.0,1
259,1,0,131370390,28.852825,46.656208,-1.0,1000.0,1
259,1,0,131381729,28.910751,46.760506,-1.0,1000.0,1
259,1,0,131394256,28.909529,46.809441,-1.0,1000.0,1
259,1,0,131430886,28.78285,47.031033,-1.0,1000.0,1
259,1,0,131434411,28.767715,47.037647,-1.0,1000.0,1
259,1,0,131434414,28.767433,47.037466,-1.0,1000.0,2
259,1,0,131434712,28.767664,47.037625,-1.0,1000.0,2
259,1,0,131434715,28.767671,47.037636,-1.0,1000.0,2
259,1,0,131434718,28.7673433333333,47.0373926666667,-1.0,1000.0,3
259,1,0,131435181,28.732564,47.044537,-1.0,1000.0,2
259,1,0,131435187,28.731586,47.045441,-1.0,1000.0,2
259,1,0,131435188,28.731581,47.045437,-1.0,1000.0,2
259,1,0,131437684,28.880781,46.91972,-1.0,1000.0,1
259,1,0,131449853,28.768183,47.006779,-1.0,1000.0,1
259,1,0,131463651,28.837986,47.00515,-1.0,1000.0,1
259,1,0,131463654,28.840696,47.004532,-1.0,1000.0,1
259,1,1,22,28.826065,47.007341,-1.0,1814.0,144
259,1,1,23,28.823377,47.008029,-1.0,1436.0,47
259,1,1,25,28.824648,47.008765,-1.0,1876.0,63
259,1,1,51,28.825228,47.027396,-1.0,1000.0,41
259,1,1,52,28.823868,47.024918,-1.0,1000.0,15
259,1,1,53,28.821723,47.026736,-1.0,1394.0,37
259,1,1,62,28.855238,47.021462,-1.0,1299.0,43
259,1,1,63,28.852844,47.021484,-1.0,1000.0,6
259,1,1,65,28.856277,47.0224,-1.0,1000.0,6
259,1,1,66,28.853223,47.020798,-1.0,1000.0,49
259,1,1,67,28.853530883789,47.020797729492,-1.0,1000.0,1
259,1,1,68,28.853989,47.021255,-1.0,1000.0,3
259,1,1,213,28.82273,47.000591,-1.0,1000.0,7
259,1,1,1021,28.860522,47.01015,-1.0,1000.0,231
259,1,1,1022,28.860141,47.00538,-1.0,1000.0,75
259,1,1,1023,28.858838,47.011073,-1.0,1000.0,37
259,1,1,1032,28.817673,47.005081,-1.0,1000.0,9
259,1,1,1035,28.815275,47.006908,-1.0,1387.0,35
259,1,1,1037,28.814072,47.005966,-1.0,1000.0,15
259,1,1,1041,28.827046,47.018542,-1.0,1000.0,28
259,1,1,1042,28.828949,47.01709,-1.0,1000.0,10
259,1,1,1043,28.825559,47.017979,-1.0,1000.0,19
259,1,1,1061,28.84243,47.025605,-1.0,2414.0,12
259,1,1,1062,28.835017,47.023392,-1.0,1000.0,27
259,1,1,1063,28.83252,47.024918,-1.0,1000.0,10
259,1,1,1065,28.835678100586,47.024917602539,-1.0,1000.0,3
259,1,1,1066,28.834274,47.023591,-1.0,1000.0,89
259,1,1,1071,28.843631,47.017538,-1.0,616.0,117
259,1,1,1072,28.845028,47.016634,-1.0,663.0,161
259,1,1,1073,28.842205,47.017667,-1.0,1000.0,275
259,1,1,1101,28.838865,47.019801,-1.0,1740.0,63
259,1,1,1106,28.840027,47.020454,-1.0,1000.0,12
259,1,1,1107,28.838386,47.021936,-1.0,1000.0,19
259,1,1,1111,28.828812,47.029037,-1.0,1000.0,2
259,1,1,1112,28.830276,47.026108,-1.0,1000.0,15
259,1,1,1113,28.828278,47.028656,-1.0,1000.0,36
259,1,1,1115,28.832245,47.026577,-1.0,1000.0,24
259,1,1,1116,28.830184936523,47.02766418457,-1.0,1000.0,1
259,1,1,1117,28.828583,47.027435,-1.0,1000.0,12
259,1,1,1121,28.827185,47.03489,-1.0,1000.0,65
259,1,1,1122,28.824326,47.031006,-1.0,1000.0,30
259,1,1,1123,28.820572,47.030411,-1.0,1000.0,2
259,1,1,1131,28.856875,47.012976,-1.0,1000.0,46
259,1,1,1132,28.856681,47.012154,-1.0,1000.0,51
259,1,1,1133,28.852158,47.013107,-1.0,1000.0,5
259,1,1,1161,28.839859,47.018509,-1.0,1000.0,45
259,1,1,1162,28.83837,47.015085,-1.0,1000.0,25
259,1,1,1163,28.834881,47.017321,-1.0,1000.0,69
259,1,1,1165,28.839287,47.018179,-1.0,1000.0,43
259,1,1,1166,28.838817,47.013735,-1.0,1000.0,7
259,1,1,1167,28.834227,47.017235,-1.0,1000.0,11
259,1,1,1181,28.838,47.029512,-1.0,1000.0,55
259,1,1,1182,28.837474,47.027294,-1.0,1000.0,26
259,1,1,1183,28.83486,47.028015,-1.0,1000.0,47
259,1,1,1232,28.822432,47.001813,-1.0,1000.0,46
259,1,1,1235,28.821875,46.999275,-1.0,1000.0,3
259,1,1,1251,28.838768,47.009296,-1.0,1000.0,8
259,1,1,1252,28.835206,47.010225,-1.0,1024.0,93
259,1,1,1253,28.827461,47.013544,-1.0,9725.0,60
259,1,1,1312,28.807297,47.008896,-1.0,1324.0,3
259,1,1,1315,28.820572,47.018909,-1.0,1000.0,8
259,1,1,1321,28.84391784668,47.018051147461,-1.0,1000.0,1
259,1,1,1322,28.843155,47.019272,-1.0,1000.0,9
259,1,1,1323,28.841956,47.020209,-1.0,1000.0,7
259,1,1,1341,28.828811645508,47.020797729492,-1.0,1000.0,2
259,1,1,1342,28.830573,47.019497,-1.0,1000.0,16
259,1,1,1343,28.828125,47.021942,-1.0,1000.0,12
259,1,1,1345,28.83103,47.021537,-1.0,1000.0,13
259,1,1,1346,28.830479,47.022073,-1.0,1000.0,14
259,1,1,1347,28.829311,47.020486,-1.0,1000.0,22
259,1,1,1351,28.819799,47.030754,-1.0,1000.0,16
259,1,1,1352,28.817854,47.027001,-1.0,1000.0,17
259,1,1,1353,28.817882,47.037404,-1.0,2157.0,27
259,1,1,1355,28.819198608398,47.030410766602,-1.0,1000.0,2
259,1,1,1361,28.828452,47.018444,-1.0,1403.0,42
259,1,1,1362,28.824881,47.011256,-1.0,8679.0,116
259,1,1,1363,28.814316,47.017594,-1.0,1000.0,9
259,1,1,1441,28.836381,47.024717,-1.0,1495.0,41
259,1,1,1442,28.836288,47.023678,-1.0,1000.0,72
259,1,1,1443,28.837166,47.025146,-1.0,1000.0,12
259,1,1,1501,28.806959,46.997664,-1.0,1212.0,194
259,1,1,1502,28.807612,46.995735,-1.0,1000.0,16
259,1,1,1503,28.800918,46.996173,-1.0,2223.0,276
259,1,1,1511,28.787719,46.993942,-1.0,2125.0,414
259,1,1,1512,28.781624,46.995488,-1.0,5467.0,72
259,1,1,1513,28.782105,46.997235,-1.0,5225.0,177
259,1,1,1661,28.840194,47.019647,-1.0,1194.0,111
259,1,1,1662,28.839378,47.019379,-1.0,1053.0,121
259,1,1,1667,28.835972,47.022073,-1.0,1000.0,14
259,1,1,1672,28.817825317383,47.034530639648,-1.0,1000.0,1
259,1,1,1691,28.862407,47.005091,-1.0,1454.0,453
259,1,1,1692,28.861695,47.001333,-1.0,1000.0,219
259,1,1,1693,28.858405,47.001054,-1.0,2047.0,122
259,1,1,1696,28.860397,47.001297,-1.0,1000.0,5
259,1,1,1751,28.846468,47.015305,-1.0,1000.0,14
259,1,1,1755,28.84544,47.015935,-1.0,679.0,121
259,1,1,1901,28.857193,47.025375,-1.0,1000.0,3
259,1,1,1902,28.856277,47.023544,-1.0,1000.0,3
259,1,1,1903,28.853531,47.026291,-1.0,1000.0,2
259,1,1,1962,28.846168,47.01686,-1.0,2396.0,83
259,1,1,1963,28.844412,47.018024,-1.0,1000.0,96
259,1,1,1965,28.843709,47.021399,-1.0,1701.0,92
259,1,1,2061,28.859024047852,47.004318237305,-1.0,1000.0,4
259,1,1,2063,28.833639,47.002779,-1.0,1000.0,33
259,1,1,2065,28.843547,46.999308,-1.0,1000.0,37
259,1,1,2066,28.844068,47.000423,-1.0,1354.0,110
259,1,1,2101,28.828125,47.032471,-1.0,1000.0,2
259,1,1,2102,28.82634,47.029724,-1.0,1000.0,10
259,1,1,2107,28.826948,47.031294,-1.0,1000.0,14
259,1,1,2151,28.857651,47.013245,-1.0,1000.0,2
259,1,1,2152,28.858488,47.012591,-1.0,1000.0,41
