mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
282,0,597,6,44.857639,41.7252189,-1.0,57999.0,24
282,0,597,8,44.8110489,41.6928144,-1.0,3048.0,3
282,0,597,16,44.7855124,41.7203319,-1.0,8286.0,2
282,1,1,2034,42.7203674,42.2613068,-1.0,500.0,1
282,1,1,7042,42.7081947,42.2705345,-1.0,500.0,1
282,1,1,14621,44.8250504,41.6988716,-1.0,500.0,1
282,1,1,17692,44.9088593,41.6372719,-1.0,500.0,1
282,1,1,18981,44.8250885,41.6988029,-1.0,500.0,1
282,1,1,23382,44.8008972,41.6908691,-1.0,500.0,5
282,1,1,24032,44.816246,41.6911316,-1.0,500.0,1
282,1,2,401,44.7704201,41.7649803,-1.0,500.0,1
282,1,2,2433,45.8582191,41.8787918,-1.0,500.0,1
282,1,2,18013,45.0173683,41.5554352,-1.0,500.0,1
282,1,2,23061,44.7243486,41.7430907,-1.0,500.0,2
282,1,2,23153,44.7736015,41.7409554,-1.0,500.0,1
282,1,11,38,44.742824,41.8251261,-1.0,1398.0,37
282,1,11,51,44.7695942,41.7613279,-1.0,645.0,12
282,1,11,195,44.7308293,41.8633144,-1.0,675.0,3
282,1,11,513,44.768600463867,41.77619934082,-1.0,1000.0,1
282,1,11,514,44.730835,41.804352,-1.0,1000.0,2
282,1,11,515,44.762009,41.792954,-1.0,1033.0,5
282,1,11,516,44.768147,41.770992,-1.0,1000.0,1
282,1,11,1537,44.783429,41.789962,-1.0,2495.0,8
282,1,11,1539,44.748001098633,41.802291870117,-1.0,1000.0,1
282,1,11,3003,44.79399,41.7689667,-1.0,500.0,1
282,1,11,4609,44.749374389648,41.800918579102,-1.0,1000.0,1
282,1,11,4610,44.749374389648,41.802291870117,-1.0,1000.0,1
282,1,11,5121,44.77066,41.820145,-1.0,1000.0,2
282,1,11,5122,44.771752,41.816521,-1.0,1000.0,2
282,1,11,5123,44.758987426758,41.82014465332,-1.0,1000.0,1
282,1,11,5377,44.823532104492,41.799545288086,-1.0,1000.0,1
282,1,11,5378,44.820785522461,41.796798706055,-1.0,1000.0,1
282,1,11,5379,44.820785522461,41.795425415039,-1.0,1000.0,1
282,1,11,6146,44.805679321289,41.792678833008,-1.0,1000.0,1
282,1,11,6401,44.806366,41.792679,-1.0,1000.0,2
282,1,11,6402,44.785767,41.787186,-1.0,1000.0,2
282,1,11,6913,44.780502,41.787186,-1.0,1000.0,3
282,1,11,6914,44.782333374023,41.781692504883,-1.0,1000.0,1
282,1,11,7426,44.771347,41.816025,-1.0,1000.0,2
282,1,11,7681,44.768143,41.79863,-1.0,1000.0,3
282,1,11,7682,44.802932739258,41.781692504883,-1.0,1000.0,2
282,1,11,7683,44.769974,41.791763,-1.0,1000.0,3
282,1,11,8705,44.806515,41.783321,-1.0,1905.0,49
282,1,11,8706,44.799448,41.763844,-1.0,1000.0,2
282,1,11,8707,44.79465,41.768649,-1.0,1000.0,2
282,1,11,11265,44.830284,41.784439,-1.0,1000.0,24
282,1,11,11267,44.820785522461,41.787185668945,-1.0,1000.0,2
282,1,11,13057,44.769988,41.764561,-1.0,1027.0,8
282,1,11,13058,44.775466918945,41.755599975586,-1.0,1000.0,5
282,1,11,13059,44.750748,41.798859,-1.0,1000.0,2
282,1,11,13087,44.768752,41.764985,-1.0,1000.0,26
282,1,11,13088,44.768497,41.761135,-1.0,1000.0,40
282,1,11,13090,44.7539758977273,41.7734766363636,-1.0,2234.43181818182,44
282,1,11,13097,44.77203,41.817642,-1.0,1000.0,1
282,1,11,13098,44.77203,41.817642,-1.0,1000.0,1
282,1,11,13100,44.740615,41.800957,-1.0,1000.0,4
282,1,11,13102,44.772423,41.816437,-1.0,1000.0,1
282,1,11,13105,44.75568,41.767101,-1.0,1000.0,3
282,1,11,13140,44.7609882,41.7862009,-1.0,500.0,1
282,1,11,13313,44.774731,41.749863,-1.0,1000.0,1
282,1,11,13569,44.815304,41.778938,-1.0,1000.0,2
282,1,11,13570,44.82158,41.770241,-1.0,1000.0,2
282,1,11,13571,44.72053527832,41.809158325195,-1.0,1000.0,1
282,1,11,18052,44.7721828,41.8121761,-1.0,500.0,1
282,1,11,18177,44.791098,41.75851,-1.0,1664.0,6
282,1,11,18178,44.77272,41.791306,-1.0,1000.0,2
282,1,11,18179,44.7686,41.771164,-1.0,1000.0,3
282,1,11,18270,44.6856066,41.9264684,-1.0,4599.0,22
282,1,11,19201,44.771347,41.808472,-1.0,1000.0,2
282,1,11,19202,44.771347045898,41.805038452148,-1.0,1000.0,1
282,1,11,20993,44.768600463867,41.758346557617,-1.0,1000.0,1
282,1,11,20995,44.769974,41.750793,-1.0,1000.0,2
282,1,11,20996,44.768600463867,41.755599975586,-1.0,1000.0,2
282,1,11,21084,44.7217026,41.9148823,-1.0,6191.0,17
282,1,11,21269,44.8081601,41.7767295,-1.0,500.0,4
