mcc,country,cells,longitude,latitude,urls
542,Fiji,4037,177.783085247887,-17.8562322193475,lacells-mcc_542.csv
244,Finland,272970,25.5398348458881,61.1835893847905,lacells-mcc_244.csv
208,France,2254078,2.85281662896887,46.9025849287294,lacells-mcc_208_a.csv lacells-mcc_208_b.csv lacells-mcc_208_c.csv
340,"French Guiana",19398,-60.5503410539485,14.38272668159,lacells-mcc_340.csv
547,"French Polynesia",4393,-149.575243900795,-17.5658305042766,lacells-mcc_547.csv
628,Gabon,9775,9.46067846361647,-0.054706951141845,lacells-mcc_628.csv
607,Gambia,2791,-16.1560258356703,13.4190830343332,lacells-mcc_607.csv
282,Georgia,32812,44.181463693185,41.8157998687258,lacells-mcc_282.csv
262,Germany,2838173,9.81325011971318,50.841007217514,lacells-mcc_262_a.csv lacells-mcc_262_b.csv lacells-mcc_262_c.csv lacells-mcc_262_d.csv
620,Ghana,100143,-0.688232153577146,6.18098405907331,lacells-mcc_620.csv
266,Gibraltar,720,1.95341798087366,37.4369246322162,lacells-mcc_266.csv
202,Greece,227092,23.3250716065456,38.4728276393939,lacells-mcc_202.csv
290,Greenland,213,-50.7697039119189,64.1832798673192,lacells-mcc_290.csv
352,Grenada,431,-61.7671113454846,12.0074935112523,lacells-mcc_352.csv
704,Guatemala,127933,-90.5133270533414,14.6644440074722,lacells-mcc_704.csv
611,Guinea,14312,-10.7182326103919,9.1726536307462,lacells-mcc_611.csv
632,Guinea-Bissau,1917,-15.5462956833905,11.8459492815626,lacells-mcc_632.csv
738,Guyana,2460,-58.1558884184549,6.73488230301512,lacells-mcc_738.csv
372,Haiti,4340,-72.1703651679384,18.8070874466508,lacells-mcc_372.csv
708,Honduras,56458,-87.2318405829524,14.4843122732974,lacells-mcc_708.csv
454,Hongkong,191005,114.13576492884,22.3640778838885,lacells-mcc_454.csv
216,Hungary,207594,18.9480770258031,47.1538578293974,lacells-mcc_216.csv
274,Iceland,13024,-21.1406086228032,64.3011476676637,lacells-mcc_274.csv
404,India,1882911,78.962528954776,19.0665360266088,lacells-mcc_404_a.csv lacells-mcc_404_b.csv lacells-mcc_404_c.csv
405,India,695237,80.485958443264,21.4573504020872,lacells-mcc_405.csv
510,Indonesia,1435094,106.292290609554,-3.71029631734502,lacells-mcc_510_a.csv lacells-mcc_510_b.csv
432,Iran,443334,51.9798757230827,35.0151994014748,lacells-mcc_432.csv
418,Iraq,60924,44.8739194410894,35.4885436407182,lacells-mcc_418.csv
272,Ireland,162981,-6.83921003141853,53.0811279054576,lacells-mcc_272.csv
425,"Israel / Palestine",207629,34.9229466008437,32.1075277556719,lacells-mcc_425.csv
222,Italy,1501131,11.7566969095545,42.9700016482192,lacells-mcc_222_a.csv lacells-mcc_222_b.csv
612,"Ivory Coast",80126,-4.29789861944192,5.77666887298635,lacells-mcc_612.csv
338,Jamaica,42321,-73.5824040429672,18.4908665669648,lacells-mcc_338.csv
440,Japan,2112363,137.696571790861,35.7346280179871,lacells-mcc_440_a.csv lacells-mcc_440_b.csv lacells-mcc_440_c.csv
441,Japan,3292,136.005158690302,34.9056719602917,lacells-mcc_441.csv
416,Jordan,81392,35.8462797154538,31.7672414531686,lacells-mcc_416.csv
401,Kazakhstan,178980,72.6072145177218,45.3120680894171,lacells-mcc_401.csv
639,Kenya,177507,36.7935126221221,-1.06087760729809,lacells-mcc_639.csv
545,Kiribati,40,171.026324524021,2.77995279183873,lacells-mcc_545.csv
221,Kosovo,1575,21.0339713125564,42.5338521422683,lacells-mcc_221.csv
419,Kuwait,63486,47.9936428655712,29.2432783027512,lacells-mcc_419.csv
437,Kyrgyzstan,25201,74.6608106664016,42.8188595761385,lacells-mcc_437.csv
457,Laos,31725,103.614011192078,17.7148554874222,lacells-mcc_457.csv
247,Latvia,45642,25.545530627438,56.7209139688888,lacells-mcc_247.csv
415,Lebanon,36598,35.6341542588976,33.9779669630668,lacells-mcc_415.csv
651,Lesotho,3196,27.5158742433457,-29.3122291964157,lacells-mcc_651.csv
618,Liberia,3304,-10.6712189391247,6.30003503936716,lacells-mcc_618.csv
606,Libya,12859,13.758451072866,32.4666694119993,lacells-mcc_606.csv
295,Liechtenstein,1680,10.1261105583825,47.2325795011829,lacells-mcc_295.csv
246,Lithuania,50585,23.7170261412135,55.0940674472392,lacells-mcc_246.csv
270,Luxembourg,24820,6.11304528678756,49.6433110790633,lacells-mcc_270.csv
455,Macao,8144,113.546917928951,22.1774998508206,lacells-mcc_455.csv
294,Macedonia,19863,21.5263087628314,41.4816159958508,lacells-mcc_294.csv
646,Madagascar,12785,47.6404931970214,-18.4665174566518,lacells-mcc_646.csv
650,Malawi,15056,34.3421973611024,-14.088053125338,lacells-mcc_650.csv
502,Malaysia,563027,101.608882176044,4.06922837625597,lacells-mcc_502.csv
472,Maldives,2907,58.4903288390241,14.4511301692749,lacells-mcc_472.csv
610,Mali,30629,-8.32811289449894,13.2528511052199,lacells-mcc_610.csv
278,Malta,16785,14.4672613110172,35.9053770341907,lacells-mcc_278.csv
609,Mauritania,5344,-15.9137377355583,18.2987244827967,lacells-mcc_609.csv
617,Mauritius,14734,57.5622792739895,-20.2808384652981,lacells-mcc_617.csv
334,Mexico,1962087,-102.95071725835,23.540312971278,lacells-mcc_334_a.csv lacells-mcc_334_b.csv lacells-mcc_334_c.csv
550,Micronesia,29,157.492425470633,7.03117020988309,lacells-mcc_550.csv
259,Moldova,27818,28.3957349659179,47.3444699419993,lacells-mcc_259.csv
212,Monaco,1257,16.739426858216,42.9138085385971,lacells-mcc_212.csv
428,Mongolia,9654,106.779060979108,47.7045567039293,lacells-mcc_428.csv
297,Montenegro,10887,19.1381474884318,42.4596630802545,lacells-mcc_297.csv
354,Montserrat,41,-21.0737729904228,26.6402353739001,lacells-mcc_354.csv
604,Morocco,212747,-7.53210799245672,33.2082888797714,lacells-mcc_604.csv
643,Mozambique,57359,36.4918865364713,-18.4055896832525,lacells-mcc_643.csv
414,Myanmar,53619,96.3591444575943,18.0194184250612,lacells-mcc_414.csv
649,Namibia,8683,16.4256038110893,-21.6529789184987,lacells-mcc_649.csv
429,Nepal,22306,84.3398527855675,27.7336006217148,lacells-mcc_429.csv
204,Netherlands,545442,5.06270976469333,52.0169814585937,lacells-mcc_204.csv
362,"Netherlands Antilles",3310,-68.7778162328962,12.2755392073352,lacells-mcc_362.csv
546,"New Caledonia",2474,166.287068322776,-22.0455408353684,lacells-mcc_546.csv
530,"New Zealand",105539,174.828088568776,-38.3689808044587,lacells-mcc_530.csv
710,Nicaragua,53699,-86.2209997204317,12.2492345276545,lacells-mcc_710.csv
614,Niger,10044,4.31530918858755,14.1719982484212,lacells-mcc_614.csv
621,Nigeria,278097,5.13758527510163,6.54488224401542,lacells-mcc_621.csv
555,Niue,10,-153.570287791974,-14.6155500720977,lacells-mcc_555.csv
467,"North Korea",17,94.8330350111111,54.3272145481481,lacells-mcc_467.csv
