mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
645,1,0,0,28.279109,-15.405757,-1.0,9794.0,796
645,1,2,591,25.344772338867,-17.779312133789,-1.0,1000.0,1
645,1,2,2256,25.242699,-17.806698,-1.0,1000.0,1
645,1,2,2257,25.268559,-17.808156,-1.0,8683.0,4
645,1,2,2258,25.240227,-17.816072,-1.0,2149.0,3
645,1,2,2751,25.344772338867,-17.779312133789,-1.0,1000.0,1
645,1,2,6091,25.242708,-17.806705,-1.0,1000.0,2
645,1,2,6092,25.242708,-17.806705,-1.0,1000.0,2
645,1,4,21622,31.204605,-10.449371,-1.0,1000.0,2
645,1,4,21623,31.082786,-10.218295,-1.0,1000.0,17
645,1,4,21651,31.205978,-10.444565,-1.0,1258.0,2
645,1,8,1162,32.762856,-9.318524,-1.0,1000.0,28
645,1,8,1165,32.762937,-9.318537,-1.0,1000.0,17
645,1,8,1166,32.757797241211,-9.3308258056641,-1.0,1000.0,1
645,1,8,14323,32.199512,-9.127388,-1.0,11299.0,5
645,1,8,15271,32.77702331543,-9.3047332763672,-1.0,1000.0,1
645,1,8,15273,32.762648,-9.318342,-1.0,1000.0,3
645,1,8,16352,32.762476,-9.318146,-1.0,1000.0,2
645,1,8,16353,32.762581,-9.318182,-1.0,1000.0,1
645,1,9,7952,31.655357,-9.108663,-1.0,1000.0,1
645,1,9,11772,31.910279,-9.061567,-1.0,2187.0,2
645,1,9,12242,31.258527,-8.912525,-1.0,24404.0,86
645,1,9,12243,31.130447387695,-8.8117218017578,-1.0,1000.0,1
645,1,9,12892,31.796202,-9.091189,-1.0,21978.0,16
645,1,24,219,28.276748657227,-15.411758422852,-1.0,1000.0,1
645,1,30,1163,32.72061,-9.346907,-1.0,5614.0,9
645,1,30,6412,32.624577,-9.363863,-1.0,1000.0,1
645,1,30,14321,32.264141,-9.159697,-1.0,1000.0,1
645,1,30,14323,32.15655,-9.128471,-1.0,12311.0,2
645,1,30,16352,32.762642,-9.318118,-1.0,1000.0,1
645,1,32,10701,27.389602661133,-17.221755981445,-1.0,1000.0,1
645,1,32,10703,27.186846,-17.350453,-1.0,1000.0,14
645,1,32,10751,25.845575,-17.819339,-1.0,30831.0,49
645,1,32,10752,25.861129760742,-17.713394165039,-1.0,1000.0,1
645,1,32,10761,25.852890014648,-17.926254272461,-1.0,1000.0,1
645,1,32,10762,25.837783813477,-18.051223754883,-1.0,1000.0,1
645,1,32,10771,25.354385375977,-17.776565551758,-1.0,1000.0,1
645,1,32,10773,25.233796,-17.792959,-1.0,45601.0,30
645,1,32,10781,25.822677612305,-17.966079711914,-1.0,1000.0,1
645,1,32,10782,25.830229,-18.008652,-1.0,4801.0,2
